years;Province_Code;Province_name;General_Total-Total;General_Total-Male;General_Total-Female;Illiterate-Total;Illiterate-Male;Illiterate-Female;_Literate_without_a_diploma-Total;_Literate_without_a_diploma-Male;_Literate_without_a_diploma-Female;Primary_school-Total;Primary_school-Male;Primary_school-Female;Primary_education-Total;Primary_education-Male;Primary_education-Female;Lower_secondary_school-Total;Lower_secondary_school-Male;Lower_secondary_school-Female;Upper_secondary_school-Total;Upper_secondary_school-Male;Upper_secondary_school-Female;Universities_and_other_higher_educational_institutions-Total;Universities_and_other_higher_educational_institutions-Male;Universities_and_other_higher_educational_institutions-Female;Master_(Including_5_or_6_Years_Faculties)-Total;Master_(Including_5_or_6_Years_Faculties)-Male;Master_(Including_5_or_6_Years_Faculties)-Female;Doctorate-Total;Doctorate-Male;Doctorate-Female;_Unknown-Total;_Unknown-Male;_Unknown-Female
2011;28;Giresun;  334 670;  164 146;  170 524;  30 080;  4 950;  25 130;  30 782;  9 238;  21 544;  88 524;  44 148;  44 376;  57 388;  30 310;  27 078;  17 200;  11 199;  6 001;  68 252;  39 685;  28 567;  27 070;  16 655;  10 415;  1 360;   877;   483;   311;   197;   114;  13 703;  6 887;  6 816
2011;29;Gümüşhane;  101 972;  51 411;  50 561;  6 714;  1 078;  5 636;  8 254;  2 904;  5 350;  27 081;  11 677;  15 404;  19 638;  9 986;  9 652;  4 846;  3 288;  1 558;  22 866;  14 713;  8 153;  7 817;  5 308;  2 509;   357;   267;   90;   154;   118;   36;  4 245;  2 072;  2 173
2011;30;Hakkari;  174 642;  97 798;  76 844;  21 166;  4 369;  16 797;  21 018;  8 091;  12 927;  24 298;  11 529;  12 769;  46 348;  29 569;  16 779;  4 228;  2 848;  1 380;  38 822;  28 940;  9 882;  10 411;  8 011;  2 400;   468;   342;   126;   75;   48;   27;  7 808;  4 051;  3 757
2011;31;Hatay; 1 034 341;  516 644;  517 697;  53 272;  11 167;  42 105;  91 644;  25 257;  66 387;  315 148;  148 936;  166 212;  221 391;  123 465;  97 926;  48 179;  29 253;  18 926;  191 575;  109 996;  81 579;  76 982;  46 631;  30 351;  3 596;  2 269;  1 327;  1 272;   786;   486;  31 282;  18 884;  12 398
2011;32;Isparta;  325 528;  161 369;  164 159;  15 892;  2 470;  13 422;  13 203;  3 950;  9 253;  103 184;  43 520;  59 664;  55 145;  30 091;  25 054;  16 019;  10 472;  5 547;  74 327;  42 695;  31 632;  35 422;  21 277;  14 145;  2 125;  1 337;   788;  1 161;   819;   342;  9 050;  4 738;  4 312
2011;33;Mersin; 1 244 984;  614 420;  630 564;  55 755;  9 987;  45 768;  86 156;  26 456;  59 700;  369 513;  165 209;  204 304;  241 380;  135 300;  106 080;  64 358;  38 017;  26 341;  267 063;  146 852;  120 211;  120 059;  70 065;  49 994;  5 603;  3 363;  2 240;  1 676;   979;   697;  33 421;  18 192;  15 229
2011;34;İstanbul; 10 355 152; 5 167 961; 5 187 191;  340 104;  52 515;  287 589;  432 981;  148 946;  284 035; 2 581 306; 1 118 408; 1 462 898; 1 958 961; 1 102 404;  856 557;  610 229;  349 019;  261 210; 2 474 684; 1 330 990; 1 143 694; 1 236 690;  668 389;  568 301;  133 118;  75 803;  57 315;  32 290;  19 062;  13 228;  554 789;  302 425;  252 364
2011;35;İzmir; 3 171 600; 1 571 487; 1 600 113;  83 386;  14 996;  68 390;  169 731;  51 240;  118 491;  938 929;  411 712;  527 217;  540 062;  311 776;  228 286;  190 360;  107 036;  83 324;  749 908;  402 290;  347 618;  408 834;  221 317;  187 517;  27 140;  14 752;  12 388;  9 705;  5 604;  4 101;  53 545;  30 764;  22 781
2011;36;Kars;  210 588;  110 361;  100 227;  20 910;  3 584;  17 326;  18 121;  7 267;  10 854;  53 853;  26 416;  27 437;  47 279;  29 009;  18 270;  8 852;  5 846;  3 006;  34 886;  22 538;  12 348;  13 740;  8 516;  5 224;   680;   425;   255;   298;   215;   83;  11 969;  6 545;  5 424
2011;37;Kastamonu;  291 026;  142 538;  148 488;  30 051;  6 067;  23 984;  23 560;  8 125;  15 435;  100 335;  45 404;  54 931;  50 561;  26 980;  23 581;  12 373;  8 989;  3 384;  48 292;  31 239;  17 053;  20 445;  12 704;  7 741;   988;   614;   374;   266;   164;   102;  4 155;  2 252;  1 903
2011;38;Kayseri;  917 626;  458 226;  459 400;  51 840;  7 112;  44 728;  36 983;  11 327;  25 656;  254 956;  105 657;  149 299;  184 164;  105 440;  78 724;  47 950;  29 896;  18 054;  201 914;  118 542;  83 372;  89 866;  55 273;  34 593;  5 483;  3 275;  2 208;  1 893;  1 253;   640;  42 577;  20 451;  22 126
2011;39;Kırklareli;  282 343;  145 965;  136 378;  9 743;  1 980;  7 763;  11 812;  4 905;  6 907;  94 166;  41 757;  52 409;  50 314;  28 930;  21 384;  16 145;  9 492;  6 653;  67 685;  39 587;  28 098;  26 120;  15 381;  10 739;  1 346;   831;   515;   218;   145;   73;  4 794;  2 957;  1 837
2011;40;Kırşehir;  171 969;  84 784;  87 185;  10 302;  1 399;  8 903;  9 844;  3 064;  6 780;  51 902;  21 480;  30 422;  32 171;  17 980;  14 191;  10 308;  6 297;  4 011;  39 170;  23 211;  15 959;  15 535;  9 805;  5 730;   801;   525;   276;   239;   159;   80;  1 697;   864;   833
2011;41;Kocaeli; 1 209 202;  610 442;  598 760;  45 816;  7 261;  38 555;  46 012;  14 171;  31 841;  303 998;  118 865;  185 133;  260 471;  143 387;  117 084;  71 706;  42 887;  28 819;  304 746;  182 301;  122 445;  127 386;  75 775;  51 611;  7 761;  4 786;  2 975;  2 023;  1 189;   834;  39 283;  19 820;  19 463
2011;42;Konya; 1 494 155;  730 696;  763 459;  74 722;  10 904;  63 818;  69 408;  19 453;  49 955;  535 245;  219 776;  315 469;  316 250;  172 636;  143 614;  65 038;  44 116;  20 922;  261 770;  157 307;  104 463;  127 199;  80 507;  46 692;  8 496;  5 602;  2 894;  3 328;  2 255;  1 073;  32 699;  18 140;  14 559
2011;43;Kütahya;  452 515;  221 752;  230 763;  21 215;  3 892;  17 323;  31 703;  10 582;  21 121;  162 361;  63 097;  99 264;  87 059;  47 134;  39 925;  21 255;  14 494;  6 761;  90 421;  58 009;  32 412;  33 780;  21 617;  12 163;  2 007;  1 333;   674;   622;   425;   197;  2 092;  1 169;   923
2011;44;Malatya;  563 980;  280 109;  283 871;  51 391;  9 040;  42 351;  31 053;  11 056;  19 997;  127 621;  53 142;  74 479;  113 286;  64 627;  48 659;  31 523;  19 607;  11 916;  136 011;  79 785;  56 226;  54 151;  33 196;  20 955;  2 580;  1 737;   843;  1 033;   734;   299;  15 331;  7 185;  8 146
2011;45;Manisa; 1 049 792;  521 890;  527 902;  49 087;  8 624;  40 463;  68 960;  23 533;  45 427;  415 381;  189 682;  225 699;  201 116;  113 620;  87 496;  45 324;  28 896;  16 428;  179 905;  103 669;  76 236;  79 528;  47 702;  31 826;  3 568;  2 188;  1 380;  1 082;   679;   403;  5 841;  3 297;  2 544
2011;46;Kahramanmaraş;  726 608;  366 257;  360 351;  64 780;  12 525;  52 255;  50 393;  17 709;  32 684;  200 780;  90 916;  109 864;  167 319;  93 023;  74 296;  34 151;  22 224;  11 927;  133 533;  83 573;  49 960;  47 894;  30 976;  16 918;  2 655;  1 856;   799;   911;   639;   272;  24 192;  12 816;  11 376
2011;47;Mardin;  474 685;  237 579;  237 106;  71 642;  13 940;  57 702;  60 717;  20 877;  39 840;  89 949;  46 956;  42 993;  114 818;  65 912;  48 906;  14 274;  9 748;  4 526;  76 471;  52 456;  24 015;  24 354;  16 988;  7 366;  1 108;   794;   314;   221;   146;   75;  21 131;  9 762;  11 369
2011;48;Muğla;  660 062;  337 156;  322 906;  19 349;  3 265;  16 084;  25 729;  8 884;  16 845;  234 802;  108 736;  126 066;  110 994;  64 488;  46 506;  32 266;  19 800;  12 466;  138 426;  76 496;  61 930;  73 628;  41 117;  32 511;  3 947;  2 312;  1 635;  1 151;   716;   435;  19 770;  11 342;  8 428
2011;49;Muş;  250 689;  128 421;  122 268;  37 096;  6 670;  30 426;  42 173;  15 897;  26 276;  44 522;  24 630;  19 892;  58 300;  36 721;  21 579;  6 043;  4 382;  1 661;  33 440;  24 693;  8 747;  11 509;  7 893;  3 616;   463;   311;   152;   150;   109;   41;  16 993;  7 115;  9 878
2011;50;Nevşehir;  213 275;  104 247;  109 028;  11 318;  1 290;  10 028;  10 654;  3 081;  7 573;  74 301;  31 853;  42 448;  45 516;  24 546;  20 970;  12 492;  7 979;  4 513;  39 893;  23 862;  16 031;  16 449;  10 103;  6 346;   773;   494;   279;   235;   152;   83;  1 644;   887;   757
2011;51;Niğde;  244 482;  120 491;  123 991;  15 139;  1 782;  13 357;  14 137;  4 485;  9 652;  82 707;  37 823;  44 884;  55 421;  30 693;  24 728;  11 519;  7 395;  4 124;  43 793;  25 445;  18 348;  18 487;  10 962;  7 525;  1 160;   735;   425;   427;   307;   120;  1 692;   864;   828
2011;52;Ordu;  551 987;  273 462;  278 525;  60 662;  12 268;  48 394;  44 640;  15 939;  28 701;  157 066;  78 720;  78 346;  98 673;  52 340;  46 333;  29 078;  18 586;  10 492;  103 162;  61 240;  41 922;  38 324;  23 253;  15 071;  1 671;  1 063;   608;   540;   330;   210;  18 171;  9 723;  8 448
2011;53;Rize;  253 293;  123 591;  129 702;  13 159;  1 413;  11 746;  16 925;  3 042;  13 883;  69 617;  30 032;  39 585;  50 464;  28 055;  22 409;  12 945;  8 609;  4 336;  57 911;  33 796;  24 115;  22 038;  13 418;  8 620;  1 143;   732;   411;   319;   232;   87;  8 772;  4 262;  4 510
2011;54;Sakarya;  678 433;  337 830;  340 603;  32 309;  5 077;  27 232;  27 911;  9 047;  18 864;  216 391;  89 926;  126 465;  137 287;  73 631;  63 656;  38 029;  24 579;  13 450;  148 547;  89 296;  59 251;  55 595;  34 086;  21 509;  3 763;  2 438;  1 325;  1 273;   869;   404;  17 328;  8 881;  8 447
2011;55;Samsun;  960 317;  468 534;  491 783;  57 601;  11 354;  46 247;  76 574;  24 975;  51 599;  300 327;  138 512;  161 815;  190 301;  102 737;  87 564;  42 460;  26 219;  16 241;  179 395;  100 688;  78 707;  81 881;  47 098;  34 783;  4 346;  2 578;  1 768;  1 792;  1 153;   639;  25 640;  13 220;  12 420
2011;56;Siirt;  186 477;  97 569;  88 908;  28 221;  5 264;  22 957;  26 084;  9 081;  17 003;  29 971;  14 727;  15 244;  49 133;  30 554;  18 579;  4 998;  3 585;  1 413;  31 292;  23 596;  7 696;  11 320;  8 114;  3 206;   520;   400;   120;   133;   85;   48;  4 805;  2 163;  2 642
2011;57;Sinop;  163 282;  80 251;  83 031;  11 618;  2 669;  8 949;  14 691;  5 201;  9 490;  57 859;  26 519;  31 340;  30 533;  16 589;  13 944;  6 720;  4 599;  2 121;  25 378;  14 859;  10 519;  12 872;  7 847;  5 025;   491;   296;   195;   147;   90;   57;  2 973;  1 582;  1 391
2011;58;Sivas;  472 342;  235 141;  237 201;  43 939;  8 197;  35 742;  25 774;  9 846;  15 928;  121 377;  53 063;  68 314;  90 815;  49 621;  41 194;  23 966;  15 124;  8 842;  101 676;  62 369;  39 307;  39 903;  24 376;  15 527;  1 890;  1 245;   645;   952;   636;   316;  22 050;  10 664;  11 386
2011;59;Tekirdağ;  649 719;  334 935;  314 784;  15 559;  3 296;  12 263;  31 653;  10 879;  20 774;  191 185;  82 734;  108 451;  137 207;  77 156;  60 051;  37 357;  21 745;  15 612;  155 080;  91 816;  63 264;  58 553;  33 762;  24 791;  3 351;  2 017;  1 334;   744;   473;   271;  19 030;  11 057;  7 973
2011;60;Tokat;  463 595;  228 204;  235 391;  35 810;  8 020;  27 790;  38 335;  14 177;  24 158;  144 358;  62 623;  81 735;  92 311;  49 233;  43 078;  21 070;  13 950;  7 120;  81 101;  49 563;  31 538;  34 333;  22 021;  12 312;  1 827;  1 208;   619;   621;   426;   195;  13 829;  6 983;  6 846
2011;61;Trabzon;  590 874;  289 436;  301 438;  39 144;  5 144;  34 000;  39 560;  11 272;  28 288;  151 276;  65 928;  85 348;  101 475;  55 021;  46 454;  30 359;  18 910;  11 449;  143 087;  83 550;  59 537;  63 083;  37 863;  25 220;  3 508;  2 084;  1 424;  1 441;   980;   461;  17 941;  8 684;  9 257
2011;62;Tunceli;  72 199;  42 384;  29 815;  6 892;  1 454;  5 438;  3 973;  2 072;  1 901;  14 021;  6 801;  7 220;  14 038;  9 978;  4 060;  3 008;  2 024;   984;  19 919;  13 328;  6 591;  7 072;  4 603;  2 469;   376;   239;   137;   70;   49;   21;  2 830;  1 836;   994
2011;63;Şanlıurfa;  996 839;  489 189;  507 650;  145 920;  24 643;  121 277;  180 562;  61 808;  118 754;  182 360;  96 458;  85 902;  232 808;  151 270;  81 538;  23 084;  16 472;  6 612;  112 958;  77 946;  35 012;  44 216;  29 785;  14 431;  2 270;  1 582;   688;  1 092;   780;   312;  71 569;  28 445;  43 124
2011;64;Uşak;  267 962;  132 253;  135 709;  11 073;  1 726;  9 347;  20 182;  5 850;  14 332;  88 963;  38 739;  50 224;  59 126;  33 140;  25 986;  13 212;  8 673;  4 539;  49 890;  28 900;  20 990;  22 608;  13 512;  9 096;  1 080;   677;   403;   299;   196;   103;  1 529;   840;   689
2011;65;Van;  618 318;  318 333;  299 985;  83 912;  16 599;  67 313;  109 813;  40 145;  69 668;  117 415;  62 265;  55 150;  146 983;  94 049;  52 934;  13 774;  9 584;  4 190;  82 945;  58 535;  24 410;  30 206;  20 872;  9 334;  1 674;  1 181;   493;   791;   594;   197;  30 805;  14 509;  16 296
2011;66;Yozgat;  344 942;  171 420;  173 522;  26 297;  5 450;  20 847;  21 509;  8 271;  13 238;  110 461;  47 468;  62 993;  65 887;  35 024;  30 863;  15 631;  10 317;  5 314;  62 468;  39 758;  22 710;  20 077;  13 355;  6 722;   981;   682;   299;   309;   200;   109;  21 322;  10 895;  10 427
2011;67;Zonguldak;  485 570;  237 243;  248 327;  37 586;  5 339;  32 247;  24 697;  6 833;  17 864;  150 272;  62 676;  87 596;  94 223;  55 851;  38 372;  23 659;  14 895;  8 764;  102 990;  62 257;  40 733;  39 104;  22 653;  16 451;  1 957;  1 165;   792;   585;   361;   224;  10 497;  5 213;  5 284
2011;68;Aksaray;  270 286;  132 432;  137 854;  19 935;  2 799;  17 136;  15 489;  5 516;  9 973;  92 497;  40 899;  51 598;  63 260;  34 325;  28 935;  12 730;  8 310;  4 420;  43 646;  26 688;  16 958;  17 531;  10 902;  6 629;   862;   571;   291;   338;   216;   122;  3 998;  2 206;  1 792
2011;69;Bayburt;  58 060;  30 709;  27 351;  4 513;   654;  3 859;  3 357;  1 324;  2 033;  15 182;  6 393;  8 789;  14 252;  7 853;  6 399;  2 350;  1 634;   716;  12 180;  8 761;  3 419;  4 257;  3 052;  1 205;   180;   128;   52;   36;   24;   12;  1 753;   886;   867
2011;70;Karaman;  175 238;  86 669;  88 569;  8 929;  1 581;  7 348;  6 837;  2 738;  4 099;  61 290;  25 618;  35 672;  42 404;  22 734;  19 670;  6 732;  4 450;  2 282;  31 241;  18 367;  12 874;  13 786;  8 847;  4 939;   661;   448;   213;   165;   109;   56;  3 193;  1 777;  1 416
2011;71;Kırıkkale;  213 954;  106 489;  107 465;  11 886;  1 517;  10 369;  10 457;  2 998;  7 459;  54 261;  20 038;  34 223;  40 966;  21 318;  19 648;  16 332;  9 987;  6 345;  58 198;  36 722;  21 476;  18 889;  12 237;  6 652;  1 137;   787;   350;   279;   195;   84;  1 549;   690;   859
2011;72;Batman;  317 214;  157 908;  159 306;  36 772;  6 959;  29 813;  42 112;  12 733;  29 379;  51 682;  22 695;  28 987;  85 327;  48 984;  36 343;  10 473;  7 026;  3 447;  56 858;  39 182;  17 676;  19 605;  13 905;  5 700;   928;   697;   231;   242;   164;   78;  13 215;  5 563;  7 652
2011;73;Şırnak;  262 705;  140 189;  122 516;  39 753;  7 106;  32 647;  41 129;  14 493;  26 636;  41 016;  22 238;  18 778;  70 203;  45 804;  24 399;  4 847;  3 551;  1 296;  38 993;  30 607;  8 386;  13 773;  9 847;  3 926;   688;   487;   201;   141;   98;   43;  12 162;  5 958;  6 204
2011;74;Bartın;  150 458;  73 026;  77 432;  11 634;  2 492;  9 142;  12 518;  3 499;  9 019;  47 637;  20 976;  26 661;  34 670;  19 365;  15 305;  5 234;  3 392;  1 842;  23 389;  14 320;  9 069;  10 700;  6 529;  4 171;   521;   352;   169;   148;   104;   44;  4 007;  1 997;  2 010
2011;75;Ardahan;  80 281;  42 531;  37 750;  7 440;  1 357;  6 083;  5 628;  2 534;  3 094;  23 711;  11 390;  12 321;  17 756;  10 301;  7 455;  3 471;  2 383;  1 088;  13 551;  9 284;  4 267;  4 837;  3 162;  1 675;   251;   176;   75;   57;   41;   16;  3 579;  1 903;  1 676
2011;76;Iğdır;  125 268;  65 114;  60 154;  15 385;  2 802;  12 583;  15 216;  6 955;  8 261;  24 420;  13 464;  10 956;  28 740;  16 891;  11 849;  4 586;  3 001;  1 585;  22 015;  13 326;  8 689;  7 892;  4 886;  3 006;   446;   292;   154;   104;   75;   29;  6 464;  3 422;  3 042
2011;77;Yalova;  163 017;  80 620;  82 397;  5 253;   859;  4 394;  6 305;  1 993;  4 312;  43 229;  17 779;  25 450;  28 740;  15 794;  12 946;  10 974;  6 180;  4 794;  39 538;  21 670;  17 868;  17 583;  10 326;  7 257;  1 177;   747;   430;   223;   151;   72;  9 995;  5 121;  4 874
2011;78;Karabük;  177 605;  88 798;  88 807;  13 522;  2 361;  11 161;  9 473;  2 886;  6 587;  51 686;  21 663;  30 023;  33 153;  18 335;  14 818;  9 645;  6 462;  3 183;  38 863;  24 090;  14 773;  17 149;  10 712;  6 437;   849;   574;   275;   280;   210;   70;  2 985;  1 505;  1 480
2011;79;Kilis;  85 346;  42 205;  43 141;  7 042;  1 574;  5 468;  6 943;  2 232;  4 711;  20 891;  9 915;  10 976;  24 680;  12 531;  12 149;  3 888;  2 603;  1 285;  14 590;  8 701;  5 889;  5 576;  3 666;  1 910;   253;   166;   87;   105;   77;   28;  1 378;   740;   638
2011;80;Osmaniye;  344 093;  171 762;  172 331;  29 386;  5 252;  24 134;  16 317;  6 232;  10 085;  88 028;  37 828;  50 200;  73 395;  40 931;  32 464;  20 222;  12 693;  7 529;  77 461;  45 391;  32 070;  27 725;  17 369;  10 356;  1 006;   686;   320;   268;   154;   114;  10 285;  5 226;  5 059
2011;81;Düzce;  261 644;  129 340;  132 304;  14 892;  2 320;  12 572;  14 785;  4 377;  10 408;  80 242;  34 295;  45 947;  57 861;  32 113;  25 748;  11 146;  7 163;  3 983;  54 743;  32 764;  21 979;  20 231;  12 260;  7 971;  1 034;   673;   361;   370;   249;   121;  6 340;  3 126;  3 214
2012;1;Adana; 1 557 369;  770 198;  787 171;  87 325;  14 703;  72 622;  109 923;  36 638;  73 285;  391 384;  170 369;  221 015;  323 474;  187 622;  135 852;  87 057;  50 243;  36 814;  356 011;  196 968;  159 043;  154 990;  88 185;  66 805;  8 952;  5 165;  3 787;  2 762;  1 666;  1 096;  35 491;  18 639;  16 852
2012;2;Adıyaman;  411 900;  204 825;  207 075;  40 763;  7 514;  33 249;  31 257;  11 592;  19 665;  98 496;  43 344;  55 152;  109 254;  59 852;  49 402;  16 840;  11 674;  5 166;  77 625;  48 082;  29 543;  29 650;  19 212;  10 438;  1 085;   779;   306;   364;   238;   126;  6 566;  2 538;  4 028
2012;3;Afyonkarahisar;  533 797;  261 318;  272 479;  24 042;  3 123;  20 919;  32 177;  8 604;  23 573;  191 974;  79 463;  112 511;  112 161;  62 156;  50 005;  26 993;  18 350;  8 643;  100 308;  61 150;  39 158;  39 743;  24 749;  14 994;  2 219;  1 441;   778;   714;   482;   232;  3 466;  1 800;  1 666
2012;4;Ağrı;  333 247;  175 012;  158 235;  41 660;  7 476;  34 184;  65 053;  25 690;  39 363;  66 543;  36 648;  29 895;  71 334;  47 931;  23 403;  7 657;  5 596;  2 061;  39 175;  28 338;  10 837;  15 624;  10 228;  5 396;   663;   468;   195;   221;   137;   84;  25 317;  12 500;  12 817
2012;5;Amasya;  254 224;  124 448;  129 776;  12 111;  2 245;  9 866;  15 982;  5 201;  10 781;  83 438;  34 492;  48 946;  47 518;  25 147;  22 371;  12 528;  8 195;  4 333;  51 401;  30 723;  20 678;  23 851;  14 905;  8 946;   991;   624;   367;   229;   123;   106;  6 175;  2 793;  3 382
2012;6;Ankara; 3 861 966; 1 909 748; 1 952 218;  112 547;  15 386;  97 161;  114 286;  32 336;  81 950;  815 976;  313 576;  502 400;  636 494;  357 189;  279 305;  239 604;  136 868;  102 736; 1 053 645;  567 685;  485 960;  666 275;  365 988;  300 287;  68 040;  38 972;  29 068;  21 038;  12 379;  8 659;  134 061;  69 369;  64 692
2012;7;Antalya; 1 581 148;  799 350;  781 798;  26 312;  4 593;  21 719;  90 909;  24 642;  66 267;  454 192;  203 481;  250 711;  315 594;  175 414;  140 180;  79 025;  47 810;  31 215;  352 424;  195 150;  157 274;  189 360;  106 031;  83 329;  9 985;  5 880;  4 105;  2 783;  1 711;  1 072;  60 564;  34 638;  25 926
2012;8;Artvin;  135 548;  68 014;  67 534;  6 764;  1 039;  5 725;  7 538;  2 064;  5 474;  38 358;  14 674;  23 684;  24 381;  14 063;  10 318;  8 014;  5 141;  2 873;  32 532;  20 535;  11 997;  13 100;  8 243;  4 857;   615;   389;   226;   121;   78;   43;  4 125;  1 788;  2 337
2012;9;Aydın;  799 529;  396 386;  403 143;  25 768;  4 656;  21 112;  57 549;  16 963;  40 586;  278 605;  129 279;  149 326;  157 055;  89 102;  67 953;  35 118;  21 480;  13 638;  147 961;  79 433;  68 528;  80 477;  45 847;  34 630;  3 641;  2 151;  1 490;  1 260;   764;   496;  12 095;  6 711;  5 384
2012;10;Balıkesir;  949 565;  472 776;  476 789;  34 184;  7 078;  27 106;  58 516;  21 049;  37 467;  339 618;  144 711;  194 907;  159 747;  91 278;  68 469;  48 940;  29 882;  19 058;  193 090;  110 579;  82 511;  96 319;  57 330;  38 989;  4 611;  2 918;  1 693;  1 171;   754;   417;  13 369;  7 197;  6 172
2012;11;Bilecik;  163 635;  84 543;  79 092;  5 256;   935;  4 321;  5 344;  2 056;  3 288;  54 147;  21 400;  32 747;  30 712;  17 537;  13 175;  8 660;  5 699;  2 961;  40 815;  24 911;  15 904;  16 067;  10 430;  5 637;   710;   463;   247;   156;   83;   73;  1 768;  1 029;   739
2012;12;Bingöl;  184 931;  94 928;  90 003;  21 478;  4 340;  17 138;  23 068;  7 835;  15 233;  37 184;  17 015;  20 169;  46 797;  27 799;  18 998;  5 417;  3 764;  1 653;  32 911;  22 417;  10 494;  12 403;  8 697;  3 706;   459;   330;   129;   139;   100;   39;  5 075;  2 631;  2 444
2012;13;Bitlis;  212 233;  111 047;  101 186;  23 073;  4 079;  18 994;  33 816;  11 013;  22 803;  39 814;  19 434;  20 380;  54 059;  33 556;  20 503;  6 660;  4 818;  1 842;  34 115;  25 110;  9 005;  13 967;  10 003;  3 964;   539;   388;   151;   133;   83;   50;  6 057;  2 563;  3 494
2012;14;Bolu;  226 874;  112 053;  114 821;  11 337;  1 946;  9 391;  11 179;  3 837;  7 342;  70 581;  29 338;  41 243;  40 595;  21 652;  18 943;  9 644;  6 577;  3 067;  54 144;  31 752;  22 392;  23 147;  13 606;  9 541;  1 260;   764;   496;   545;   334;   211;  4 442;  2 247;  2 195
2012;15;Burdur;  205 058;  100 000;  105 058;  8 391;  1 266;  7 125;  11 358;  2 757;  8 601;  75 409;  33 107;  42 302;  35 165;  19 557;  15 608;  9 544;  6 402;  3 142;  40 871;  22 637;  18 234;  19 719;  11 680;  8 039;   844;   567;   277;   268;   172;   96;  3 489;  1 855;  1 634
2012;16;Bursa; 2 074 845; 1 028 429; 1 046 416;  81 705;  13 514;  68 191;  82 810;  26 806;  56 004;  583 750;  237 192;  346 558;  428 505;  236 217;  192 288;  130 410;  75 584;  54 826;  476 901;  275 108;  201 793;  218 350;  125 241;  93 109;  12 233;  7 303;  4 930;  3 189;  1 980;  1 209;  56 992;  29 484;  27 508
2012;17;Çanakkale;  411 499;  208 493;  203 006;  9 785;  2 309;  7 476;  27 446;  10 670;  16 776;  154 107;  65 820;  88 287;  66 257;  39 386;  26 871;  18 200;  11 528;  6 672;  83 203;  48 081;  35 122;  44 503;  25 933;  18 570;  2 572;  1 496;  1 076;   921;   602;   319;  4 505;  2 668;  1 837
2012;18;Çankırı;  147 687;  73 596;  74 091;  9 905;  1 779;  8 126;  9 077;  2 962;  6 115;  47 173;  19 807;  27 366;  27 971;  14 979;  12 992;  7 917;  5 529;  2 388;  31 337;  19 525;  11 812;  11 392;  7 382;  4 010;   659;   439;   220;   175;   127;   48;  2 081;  1 067;  1 014
2012;19;Çorum;  412 971;  202 384;  210 587;  29 586;  6 380;  23 206;  36 557;  12 845;  23 712;  135 467;  60 210;  75 257;  88 122;  47 038;  41 084;  16 720;  11 364;  5 356;  65 108;  39 406;  25 702;  31 226;  19 871;  11 355;  1 323;   883;   440;   382;   233;   149;  8 480;  4 154;  4 326
2012;20;Denizli;  743 142;  366 716;  376 426;  17 991;  2 887;  15 104;  48 818;  11 605;  37 213;  250 274;  114 101;  136 173;  153 591;  85 342;  68 249;  35 065;  21 930;  13 135;  148 956;  80 515;  68 441;  74 136;  42 127;  32 009;  3 463;  2 028;  1 435;  1 263;   816;   447;  9 585;  5 365;  4 220
2012;21;Diyarbakır; 1 022 918;  513 544;  509 374;  119 346;  21 981;  97 365;  172 414;  57 202;  115 212;  167 093;  89 602;  77 491;  255 966;  151 392;  104 574;  28 747;  20 150;  8 597;  169 148;  109 604;  59 544;  70 160;  45 217;  24 943;  3 294;  2 245;  1 049;  1 317;   972;   345;  35 433;  15 179;  20 254
2012;22;Edirne;  333 866;  169 861;  164 005;  13 524;  3 081;  10 443;  19 619;  7 669;  11 950;  116 488;  52 661;  63 827;  51 909;  30 834;  21 075;  17 171;  10 801;  6 370;  73 928;  41 447;  32 481;  33 003;  18 578;  14 425;  2 208;  1 226;   982;   831;   498;   333;  5 185;  3 066;  2 119
2012;23;Elazığ;  424 178;  208 416;  215 762;  26 907;  5 869;  21 038;  46 545;  10 107;  36 438;  92 886;  35 888;  56 998;  87 320;  48 635;  38 685;  21 390;  14 402;  6 988;  92 484;  58 481;  34 003;  41 032;  26 031;  15 001;  2 531;  1 608;   923;  1 182;   864;   318;  11 901;  6 531;  5 370
2012;24;Erzincan;  170 433;  86 301;  84 132;  13 755;  2 312;  11 443;  9 214;  3 339;  5 875;  41 816;  17 819;  23 997;  33 060;  18 289;  14 771;  8 462;  5 701;  2 761;  40 940;  24 815;  16 125;  16 516;  10 518;  5 998;  1 043;   727;   316;   244;   182;   62;  5 383;  2 599;  2 784
2012;25;Erzurum;  550 424;  274 589;  275 835;  47 827;  8 017;  39 810;  46 948;  16 228;  30 720;  134 172;  55 954;  78 218;  112 448;  63 619;  48 829;  23 248;  15 736;  7 512;  112 465;  71 990;  40 475;  48 213;  30 100;  18 113;  3 536;  2 224;  1 312;  1 735;  1 276;   459;  19 832;  9 445;  10 387
2012;26;Eskişehir;  642 954;  318 275;  324 679;  18 020;  2 645;  15 375;  18 254;  4 988;  13 266;  173 252;  65 031;  108 221;  101 246;  53 997;  47 249;  38 464;  22 853;  15 611;  179 768;  105 665;  74 103;  85 602;  48 562;  37 040;  6 198;  3 361;  2 837;  2 525;  1 483;  1 042;  19 625;  9 690;  9 935
