years;Province_Code;Province_name;General_Total-Total;General_Total-Male;General_Total-Female;Illiterate-Total;Illiterate-Male;Illiterate-Female;_Literate_without_a_diploma-Total;_Literate_without_a_diploma-Male;_Literate_without_a_diploma-Female;Primary_school-Total;Primary_school-Male;Primary_school-Female;Primary_education-Total;Primary_education-Male;Primary_education-Female;Lower_secondary_school-Total;Lower_secondary_school-Male;Lower_secondary_school-Female;Upper_secondary_school-Total;Upper_secondary_school-Male;Upper_secondary_school-Female;Universities_and_other_higher_educational_institutions-Total;Universities_and_other_higher_educational_institutions-Male;Universities_and_other_higher_educational_institutions-Female;Master_(Including_5_or_6_Years_Faculties)-Total;Master_(Including_5_or_6_Years_Faculties)-Male;Master_(Including_5_or_6_Years_Faculties)-Female;Doctorate-Total;Doctorate-Male;Doctorate-Female;_Unknown-Total;_Unknown-Male;_Unknown-Female
2008;17;Çanakkale;  391 793;  199 738;  192 055;  25 910;  6 941;  18 969;  23 230;  10 807;  12 423;  174 053;  80 551;  93 502;  33 430;  18 670;  14 760;  17 275;  11 605;  5 670;  70 217;  41 522;  28 695;  25 866;  16 000;  9 866;  1 358;   845;   513;   430;   291;   139;  20 024;  12 506;  7 518
2008;18;Çankırı;  138 185;  68 564;  69 621;  15 267;  3 259;  12 008;  9 402;  3 713;  5 689;  53 364;  24 392;  28 972;  15 553;  8 261;  7 292;  7 722;  5 667;  2 055;  22 602;  14 523;  8 079;  6 706;  4 572;  2 134;   392;   263;   129;   52;   34;   18;  7 125;  3 880;  3 245
2008;19;Çorum;  415 408;  203 553;  211 855;  54 308;  13 400;  40 908;  28 181;  12 084;  16 097;  164 383;  79 526;  84 857;  48 574;  24 523;  24 051;  15 496;  11 048;  4 448;  53 869;  32 884;  20 985;  18 428;  12 744;  5 684;   682;   445;   237;   129;   89;   40;  31 358;  16 810;  14 548
2008;20;Denizli;  705 986;  350 068;  355 918;  56 848;  9 294;  47 554;  30 775;  11 982;  18 793;  303 620;  151 299;  152 321;  68 506;  35 648;  32 858;  34 092;  22 321;  11 771;  118 783;  65 104;  53 679;  44 792;  27 109;  17 683;  1 608;   980;   628;   582;   423;   159;  46 380;  25 908;  20 472
2008;21;Diyarbakır;  934 218;  470 505;  463 713;  217 845;  50 856;  166 989;  146 810;  66 982;  79 828;  161 207;  100 800;  60 407;  126 292;  75 238;  51 054;  25 139;  18 145;  6 994;  136 030;  91 496;  44 534;  30 091;  20 418;  9 673;  1 925;  1 342;   583;   668;   492;   176;  88 211;  44 736;  43 475
2008;22;Edirne;  325 579;  167 153;  158 426;  24 522;  5 861;  18 661;  19 034;  8 580;  10 454;  134 954;  65 256;  69 698;  27 721;  15 711;  12 010;  17 547;  11 416;  6 131;  63 303;  36 578;  26 725;  21 254;  12 455;  8 799;  1 129;   705;   424;   450;   274;   176;  15 665;  10 317;  5 348
2008;23;Elazığ;  403 057;  197 187;  205 870;  62 576;  11 419;  51 157;  29 965;  11 041;  18 924;  104 646;  48 773;  55 873;  48 305;  25 485;  22 820;  21 116;  15 424;  5 692;  81 115;  52 412;  28 703;  20 733;  13 913;  6 820;  1 157;   697;   460;   693;   546;   147;  32 751;  17 477;  15 274
2008;24;Erzincan;  159 480;  81 330;  78 150;  18 373;  3 602;  14 771;  10 494;  4 357;  6 137;  51 407;  24 181;  27 226;  17 373;  9 471;  7 902;  8 789;  6 239;  2 550;  31 746;  20 280;  11 466;  8 776;  6 029;  2 747;   564;   403;   161;   97;   78;   19;  11 861;  6 690;  5 171
2008;25;Erzurum;  532 159;  267 375;  264 784;  72 155;  13 945;  58 210;  50 918;  20 706;  30 212;  151 854;  71 960;  79 894;  62 505;  34 648;  27 857;  22 502;  16 593;  5 909;  94 242;  63 578;  30 664;  25 995;  17 341;  8 654;  1 571;  1 008;   563;  1 124;   891;   233;  49 293;  26 705;  22 588
2008;26;Eskişehir;  597 306;  294 410;  302 896;  24 457;  3 973;  20 484;  19 906;  6 175;  13 731;  213 934;  89 649;  124 285;  49 059;  25 242;  23 817;  41 762;  26 367;  15 395;  155 386;  90 233;  65 153;  50 138;  30 009;  20 129;  3 154;  1 746;  1 408;  1 416;   851;   565;  38 094;  20 165;  17 929
2008;27;Gaziantep; 1 042 767;  519 097;  523 670;  130 056;  23 824;  106 232;  100 987;  40 279;  60 708;  346 182;  183 691;  162 491;  142 439;  75 288;  67 151;  43 674;  30 105;  13 569;  140 400;  85 291;  55 109;  41 735;  26 973;  14 762;  2 143;  1 400;   743;   644;   469;   175;  94 507;  51 777;  42 730
2008;28;Giresun;  329 322;  161 763;  167 559;  47 639;  7 463;  40 176;  25 483;  10 737;  14 746;  104 313;  55 991;  48 322;  33 541;  17 232;  16 309;  16 632;  11 214;  5 418;  58 141;  33 758;  24 383;  16 978;  11 144;  5 834;   682;   433;   249;   117;   90;   27;  25 796;  13 701;  12 095
2008;29;Gümüşhane;  98 479;  48 939;  49 540;  10 271;  1 751;  8 520;  7 308;  3 081;  4 227;  33 185;  15 414;  17 771;  12 168;  6 027;  6 141;  5 221;  3 653;  1 568;  17 885;  11 772;  6 113;  4 349;  3 132;  1 217;   148;   109;   39;   43;   29;   14;  7 901;  3 971;  3 930
