Province_name;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;
Mardin;155;192;209;194;205;206;186;209;227;289;271;336;287;315;318;288;343;388;452;462;656;680;725;640;;;
Muğla;1093;1266;1367;1302;1497;1538;1478;1614;1870;2033;2008;2163;2149;2198;2302;2338;2338;2653;2661;2391;2831;3018;2933;3216;;;
Muş;64;68;88;67;75;63;56;76;90;70;72;91;111;105;103;101;102;144;136;115;193;234;227;239;;;
Nevşehir;650;742;579;564;505;436;472;472;669;627;629;572;501;538;504;477;535;549;572;559;760;812;721;766;;;
Niğde;325;370;402;317;388;307;394;351;401;484;476;485;556;461;544;566;476;582;516;646;786;785;818;886;;;
Ordu;667;778;759;759;709;673;655;654;736;701;781;860;847;818;889;832;839;968;1035;998;1268;1451;1466;1426;;;
Rize;212;264;224;221;192;186;199;210;267;238;257;254;287;302;346;292;315;345;346;316;399;482;382;398;;;
Sakarya;978;1007;966;912;1028;1034;1028;1026;1274;1282;1254;1315;1487;1492;1504;1562;1538;1532;1844;1665;1993;2116;2237;2604;;;
Samsun;1421;1547;1530;1460;1433;1341;1385;1364;1531;1794;1751;1873;1728;1899;1867;1794;1795;2146;2272;1889;2633;2775;2747;2834;;;
Siirt;33;35;37;38;50;46;28;44;62;60;64;85;89;84;85;75;108;103;109;122;152;174;200;204;;;
Sinop;319;322;269;260;295;251;232;279;288;291;236;263;281;300;333;271;301;335;406;341;427;458;462;488;;;
Sivas;770;841;799;751;726;539;610;541;649;654;656;626;622;740;808;683;627;775;871;795;1084;1050;901;1102;;;
Tekirdağ;721;837;914;1089;1039;996;1034;1195;1477;1486;1524;1461;1648;1830;1909;1862;1859;2284;2461;2050;2537;2949;2929;3164;;;
Tokat;580;629;655;595;544;517;539;564;670;643;654;628;614;610;637;647;729;766;834;756;941;1052;1040;1094;;;
Trabzon;634;762;687;645;566;494;534;552;681;596;624;640;613;678;679;625;697;766;832;892;1070;1122;1089;1081;;;
Tunceli;96;84;96;89;84;108;114;88;95;125;94;128;120;110;133;136;128;154;143;160;193;193;185;224;;;
Şanlıurfa;518;656;729;789;774;803;877;743;877;784;660;638;879;1123;1056;996;932;1184;1451;1248;1814;2011;1800;2038;;;
Uşak;1022;935;796;738;746;677;668;807;727;771;734;809;743;793;744;675;746;786;871;853;1092;1166;977;1084;;;
Van;78;98;124;116;115;164;167;161;239;267;244;210;287;338;335;327;367;405;588;569;726;788;843;887;;;
Yozgat;993;1045;957;868;761;692;684;627;687;681;623;685;667;690;649;554;480;621;595;530;739;858;774;743;;;
Zonguldak;1279;1408;1576;1214;1101;1007;1106;1176;1173;1023;946;995;987;1129;1063;990;934;1177;1228;1048;1255;1291;1217;1332;;;
Aksaray;915;1027;903;740;806;813;716;989;996;897;777;765;731;770;802;816;780;783;811;795;1036;1004;975;1091;;;
Bayburt;44;83;59;44;30;66;28;49;47;44;46;45;43;64;53;52;52;46;60;35;72;73;77;71;;;
Karaman;408;362;342;456;340;317;298;307;428;479;436;420;416;482;416;391;442;424;617;428;664;739;737;801;;;
Kırıkkale;427;395;467;491;515;494;416;528;605;627;582;514;557;607;541;450;508;579;595;578;647;662;696;776;;;
Batman;68;71;71;87;110;94;86;112;136;115;126;160;208;250;230;159;196;239;279;256;362;509;463;500;;;
Şırnak;48;43;59;51;44;54;62;74;68;70;73;83;91;103;106;73;110;147;185;164;211;240;249;316;;;
Bartın;362;341;347;355;312;220;262;235;342;297;293;264;276;273;267;274;261;319;382;300;359;409;446;470;;;
Ardahan;55;51;58;57;52;43;35;49;59;47;57;71;75;64;52;53;46;65;78;72;93;109;107;137;;;
