year;province_name;general_total;illiterate_total;illiterate_ratio;literate_without_diploma_total;literate_without_diploma_ratio;primary_school_total;primary_school_ratio;primary_education_total;primary_education_ratio;lower_secondary_school_total;lower_secondary_school_ratio;upper_secondary_school_total;upper_secondary_school_ratio;universities_and_other_higher_educational_institutions_total;universities_and_other_higher_educational_institutions_ratio;master_total;master_ratio;doctorate_total;doctorate_ratio;unknown_total;unknown_ratio
2021;Karaman;201281;3927;1.95;5389;2.68;46170;22.94;22484;11.17;38099;18.93;46557;23.13;31143;15.47;3277;1.63;587;0.29;3648;1.81
2021;Kırıkkale;220078;6592;3.00;6512;2.96;39661;18.02;15422;7.01;40190;18.26;70496;32.03;35799;16.27;3929;1.79;524;0.24;953;0.43
2021;Batman;420834;23582;5.60;23476;5.58;44195;10.50;36484;8.67;112028;26.62;111169;26.42;59465;14.13;6489;1.54;537;0.13;3409;0.81
2021;Şırnak;352268;24089;6.84;21313;6.05;32849;9.33;19792;5.62;110176;31.28;90890;25.80;43109;12.24;4277;1.21;255;0.07;5518;1.57
2021;Bartın;167421;6182;3.69;9655;5.77;38814;23.18;20183;12.06;26919;16.08;39141;23.38;22179;13.25;2175;1.30;462;0.28;1711;1.02
2021;Ardahan;75496;4391;5.82;2942;3.90;16786;22.23;6697;8.87;15807;20.94;17020;22.54;9710;12.86;1120;1.48;206;0.27;817;1.08
2021;Iğdır;143955;10110;7.02;9326;6.48;21149;14.69;13388;9.30;34038;23.64;31764;22.07;19425;13.49;2142;1.49;337;0.23;2276;1.58
2021;Yalova;208855;3581;1.71;4860;2.33;38346;18.36;14481;6.93;37052;17.74;60024;28.74;41450;19.85;4489;2.15;685;0.33;3887;1.86
2021;Karabük;200710;8088;4.03;6477;3.23;41128;20.49;16616;8.28;29898;14.90;55041;27.42;38005;18.94;3818;1.90;833;0.42;806;0.40
2021;Kilis;103434;3091;2.99;3461;3.35;13291;12.85;11683;11.30;26768;25.88;25966;25.10;15375;14.86;1650;1.60;243;0.23;1906;1.84
2021;Osmaniye;410708;18425;4.49;11287;2.75;67736;16.49;34060;8.29;86675;21.10;110335;26.86;67505;16.44;6346;1.55;583;0.14;7756;1.89
2021;Düzce;314389;8330;2.65;11111;3.53;64060;20.38;32743;10.41;54248;17.26;84133;26.76;50986;16.22;5198;1.65;1010;0.32;2570;0.82
2021;TR;64215375;1813671;2.82;2330414;3;12106638;16;5132420;7;12182748;16;16697592;21;11637287;13;1395232;1;233342;0;686031;1
2022;Adana;1723133;54962;3.19;64943;3.77;299830;17.40;134855;7.83;338406;19.64;477414;27.71;301657;17.51;33810;1.96;4746;0.28;12510;0.73
2022;Adıyaman;456194;26688;5.85;16457;3.61;72303;15.85;40706;8.92;100832;22.10;118735;26.03;69979;15.34;7359;1.61;909;0.20;2226;0.49
2022;Afyonkarahisar;582663;12334;2.12;20007;3.43;145287;24.93;53357;9.16;111798;19.19;138385;23.75;80790;13.87;9331;1.60;1571;0.27;9803;1.68
2022;Ağrı;341169;25954;7.61;30050;8.81;60615;17.77;24291;7.12;88936;26.07;67266;19.72;35901;10.52;3925;1.15;436;0.13;3795;1.11
2022;Amasya;276227;6815;2.47;10004;3.62;66249;23.98;22460;8.13;44993;16.29;71196;25.77;47723;17.28;4385;1.59;709;0.26;1693;0.61
2022;Ankara;4527621;71304;1.57;74852;1.65;634307;14.01;235726;5.21;691162;15.27;1370349;30.27;1179061;26.04;191793;4.24;38925;0.86;40142;0.89
2022;Antalya;1994324;18226;0.91;58873;2.95;358076;17.95;147401;7.39;343855;17.24;573096;28.74;413128;20.72;41682;2.09;6302;0.32;33685;1.69
2022;Artvin;142298;3906;2.74;4962;3.49;28844;20.27;9539;6.70;21714;15.26;44358;31.17;25644;18.02;2244;1.58;424;0.30;663;0.47
2022;Aydın;923601;14397;1.56;33918;3.67;216900;23.48;77425;8.38;157080;17.01;226393;24.51;166116;17.99;16553;1.79;2659;0.29;12160;1.32
2022;Balıkesir;1044619;17368;1.66;33594;3.22;266246;25.49;75975;7.27;162874;15.59;263751;25.25;193137;18.49;18318;1.75;2649;0.25;10707;1.02
2022;Bilecik;184631;2687;1.46;2926;1.58;41115;22.27;14628;7.92;30352;16.44;55161;29.88;33378;18.08;2980;1.61;495;0.27;909;0.49
2022;Bingöl;209862;12136;5.78;9881;4.71;24724;11.78;17574;8.37;42117;20.07;66411;31.65;31686;15.10;3522;1.68;530;0.25;1281;0.61
2022;Bitlis;244197;13517;5.54;15559;6.37;32006;13.11;20680;8.47;63008;25.80;61963;25.37;32595;13.35;3590;1.47;410;0.17;869;0.36
2022;Bolu;258421;6420;2.48;7096;2.75;58099;22.48;21110;8.17;36090;13.97;74746;28.92;46983;18.18;5218;2.02;1248;0.48;1411;0.55
2022;Burdur;225761;4427;1.96;6888;3.05;57948;25.67;17653;7.82;34538;15.30;57189;25.33;40056;17.74;4526;2.00;857;0.38;1679;0.74
2022;Bursa;2478742;48952;1.97;52603;2.12;459749;18.55;212998;8.59;449278;18.13;696684;28.11;469565;18.94;46286;1.87;5977;0.24;36650;1.48
2022;Çanakkale;467509;4829;1.03;14648;3.13;121806;26.05;30600;6.55;66491;14.22;119564;25.57;94027;20.11;10889;2.33;2250;0.48;2405;0.51
2022;Çankırı;157156;5506;3.50;5640;3.59;38862;24.73;13314;8.47;25325;16.11;41734;26.56;22888;14.56;2368;1.51;431;0.27;1088;0.69
2022;Çorum;423030;17138;4.05;22825;5.40;105347;24.90;40455;9.56;70478;16.66;94513;22.34;61489;14.54;6141;1.45;944;0.22;3700;0.87
2022;Denizli;842975;9985;1.18;28018;3.32;188202;22.33;78348;9.29;143658;17.04;219979;26.10;148628;17.63;15097;1.79;2610;0.31;8450;1.00
2022;Diyarbakır;1231609;80564;6.54;99332;8.07;145145;11.78;86648;7.04;315861;25.65;300540;24.40;177174;14.39;20652;1.68;2222;0.18;3471;0.28
2022;Edirne;347487;7011;2.02;10013;2.88;89708;25.82;25999;7.48;52180;15.02;92854;26.72;59019;16.98;6914;1.99;1699;0.49;2090;0.60
2022;Elazığ;462970;16651;3.60;29001;6.26;70030;15.13;33258;7.18;89954;19.43;126596;27.34;81393;17.58;10381;2.24;2097;0.45;3609;0.78
2022;Erzincan;191855;7805;4.07;6626;3.45;33664;17.55;12749;6.65;29988;15.63;56649;29.53;36909;19.24;3825;1.99;848;0.44;2792;1.46
2022;Erzurum;563561;28742;5.10;25021;4.44;103306;18.33;36331;6.45;110510;19.61;150331;26.68;90021;15.97;12284;2.18;3012;0.53;4003;0.71
2022;Eskişehir;729795;10605;1.45;11649;1.60;137277;18.81;46947;6.43;107636;14.75;223617;30.64;158885;21.77;19785;2.71;4932;0.68;8462;1.16
